#,Title,URL,State,Labels,# of Labels,Assignees,# of Assignees,# of Comments,Closed at,Created at,Locked
61,Cannot Use /dep file with multiple outputs,https://github.com/ninja-build/ninja/issues/61,closed,[],0,[],0,6,2011-09-12 22:30:13,2011-06-14 16:03:01,False
58,$out does not include all output files,https://github.com/ninja-build/ninja/issues/58,closed,[],0,[],0,4,2011-06-14 02:29:33,2011-06-10 21:32:44,False
56,depfiles parser can't handle windows paths (with colons for drive letters),https://github.com/ninja-build/ninja/issues/56,closed,"[Label(name=""bug"")]",1,[],0,10,2016-03-21 16:43:37,2011-06-05 22:15:46,False
54,bootstrap.sh needs a shell on windows,https://github.com/ninja-build/ninja/issues/54,closed,[],0,[],0,2,2012-02-17 17:16:23,2011-06-03 23:09:23,False
53,Too-long command lines should be handled,https://github.com/ninja-build/ninja/issues/53,closed,[],0,[],0,28,2012-07-27 19:56:21,2011-06-02 23:20:47,False
49,"On Windows, ninja doesn't create needed paths first",https://github.com/ninja-build/ninja/issues/49,closed,[],0,[],0,1,2011-05-29 18:29:15,2011-05-27 06:54:09,False
48,include/subninja missing .ninja file and the error message,https://github.com/ninja-build/ninja/issues/48,closed,[],0,[],0,2,2011-05-22 16:26:30,2011-05-20 05:20:09,False
45,Can't write build rules with paths that work on Windows commands,https://github.com/ninja-build/ninja/issues/45,closed,[],0,[],0,4,2011-05-27 06:49:03,2011-05-15 12:18:31,False
39,Bootstrap fails with link errors on gLucid,https://github.com/ninja-build/ninja/issues/39,closed,[],0,[],0,2,2011-05-14 22:56:31,2011-05-04 23:21:17,False
28,"Document the semantics of ""command""",https://github.com/ninja-build/ninja/issues/28,closed,[],0,[],0,1,2011-05-01 02:05:15,2011-04-23 20:11:40,False
27,"Cannot use a file named ""build""",https://github.com/ninja-build/ninja/issues/27,closed,[],0,[],0,1,2011-05-01 02:05:27,2011-04-23 20:05:44,False
25,"expected makefile to mention './hello.o', got 'hello.o'",https://github.com/ninja-build/ninja/issues/25,closed,[],0,[],0,9,2011-04-22 18:03:20,2011-04-16 09:21:46,False
23,implicit and explicit dependencies confuse ninja leading to crash,https://github.com/ninja-build/ninja/issues/23,closed,[],0,[],0,4,2011-05-16 07:45:20,2011-04-14 09:44:26,False
21,web server dependency browser has hard coded build.ninja name,https://github.com/ninja-build/ninja/issues/21,closed,[],0,[],0,1,2011-05-14 22:59:35,2011-04-09 10:22:23,False
18,ninja fails to model test_shell -> ffmpegsumo -> matroskadec.c dependency,https://github.com/ninja-build/ninja/issues/18,closed,[],0,[],0,5,2011-09-16 00:09:35,2011-03-17 19:52:29,False
13,ninja fails with ffmpeg linking error when compiling chrome,https://github.com/ninja-build/ninja/issues/13,closed,[],0,[],0,7,2011-03-08 23:17:55,2011-03-08 21:27:40,False
12,A problem of inline.sh,https://github.com/ninja-build/ninja/issues/12,closed,[],0,[],0,6,2011-03-13 21:38:39,2011-03-08 18:13:31,False
11,File creation in unit test not tested resulting in Segmentation fault,https://github.com/ninja-build/ninja/issues/11,closed,[],0,[],0,3,2011-03-05 21:32:09,2011-02-27 23:22:56,False
10,Handle variable expansion with upper-case characters,https://github.com/ninja-build/ninja/issues/10,closed,[],0,[],0,6,2011-03-07 20:26:27,2011-02-24 22:55:03,False
9,Handle variable expansion with upper-case characters,https://github.com/ninja-build/ninja/issues/9,closed,[],0,[],0,0,2011-02-25 06:50:14,2011-02-21 07:24:44,False
7,Changes to Chrome resource files don't get picked up by ninja,https://github.com/ninja-build/ninja/issues/7,closed,[],0,[],0,10,2011-08-08 22:49:45,2011-02-09 19:34:21,False
6,bootstrap.sh on FreeBSD,https://github.com/ninja-build/ninja/issues/6,closed,[],0,[],0,3,2011-02-28 19:51:59,2011-02-08 23:23:31,False
4,Getting number of CPUs on Mac/BSD,https://github.com/ninja-build/ninja/issues/4,closed,[],0,[],0,2,2011-02-25 23:39:01,2011-02-07 13:10:00,False
2,.incbin pseudo op not supported on OS X,https://github.com/ninja-build/ninja/issues/2,closed,[],0,[],0,5,2011-03-07 19:33:43,2011-02-07 00:24:10,False
